id,page_id,scrapping_date,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,features,type,street,neighborhood,city,state,latitude,longitude
1,2729124042,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-indiana-zona-oeste-sao-paulo-com-garagem-70m2-aluguel-RS3000-id-2729124042/,"Apartamento com 3 Quartos para Aluguel, 70m²",renting,"Rua Barroso Neto, 342 - Vila Indiana, São Paulo - SP",70,3,1,1,3000,1200,,Apartamento,Rua Barroso Neto,Vila Indiana,São Paulo,SP,-23.568541,-46.7318266
2,2730654036,27-09-2024,https://www.vivareal.com.br/imovel/sobrado-4-quartos-parque-sao-domingos-zona-oeste-sao-paulo-com-garagem-180m2-venda-RS1060000-id-2730654036/,Casa com 4 Quartos à Venda/Aluguel 180m²,renting,"Rua Homero Sales, 1 - Parque São Domingos, São Paulo - SP",180,4,4,4,4900,0,,Casa,Rua Homero Sales,Parque São Domingos,São Paulo,SP,-22.9348324,-45.4534005
3,2735433796,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aricanduva-zona-leste-sao-paulo-com-garagem-90m2-aluguel-RS1500-id-2735433796/,"Apartamento com 2 Quartos para Aluguel, 90m²",renting,"Avenida Olga Fadel Abarca - Aricanduva, São Paulo - SP",90,2,2,1,1500,560,"Condomínio fechado, Portão eletrônico, Salão de festas, Academia, Quadra poliesportiva",Apartamento,Avenida Olga Fadel Abarca,Aricanduva,São Paulo,SP,-23.5780239,-46.511454
4,2435909775,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morumbi-zona-sul-sao-paulo-com-garagem-48m2-aluguel-RS2300-id-2435909775/,"Apartamento com 2 Quartos para Aluguel, 48m²",renting,"Morumbi, São Paulo - SP",48,2,1,1,2300,470,Garagem,Apartamento,Morumbi,Morumbi,São Paulo,SP,-23.5964988,-46.7178446
5,2696361983,27-09-2024,https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-campo-grande-zona-sul-sao-paulo-com-garagem-75m2-aluguel-RS2960-id-2696361983/,"Casa com 3 Quartos para Aluguel, 75m²",renting,"Rua Pierre de Beranger, 25 - Campo Grande, São Paulo - SP",75,3,2,1,2960,400,"Condomínio fechado, Portão eletrônico, Aceita animais",Casa,Rua Pierre de Beranger,Campo Grande,São Paulo,SP,-23.6722214,-46.684628
6,2632974758,27-09-2024,https://www.vivareal.com.br/imovel/imovel-comercial-2-quartos-jardim-brasilia-zona-leste-zona-leste-sao-paulo-com-garagem-200m2-aluguel-RS1500-id-2632974758/,"Casa com 2 Quartos para Aluguel, 200m²",renting,"Praça Valdemar Bassi, 72 - Jardim Brasília Zona Leste, São Paulo - SP",200,2,2,1,1500,0,,Casa,Praça Valdemar Bassi,Jardim Brasília Zona Leste,São Paulo,SP,-23.5475,-46.63611
7,2507671288,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-4-quartos-aclimacao-centro-sao-paulo-com-garagem-288m2-venda-RS2200000-id-2507671288/,Apartamento com 4 Quartos para Venda/Aluguel 288m²,renting,"Aclimação, São Paulo - SP",288,4,5,4,8000,3300,"Varanda, Escritório, Área de serviço, Aceita animais",Apartamento,Aclimação,Aclimação,São Paulo,SP,-23.5671021,-46.6268011
8,2732599014,27-09-2024,https://www.vivareal.com.br/imovel/casa-4-quartos-alto-da-lapa-zona-oeste-sao-paulo-com-garagem-482m2-venda-RS5500000-id-2732599014/,Casa com 4 Quartos para Venda/Aluguel 482m²,renting,"Rua Curuzu - Alto da Lapa, São Paulo - SP",482,4,6,4,18000,0,Aceita animais,Casa,Rua Curuzu,Alto da Lapa,São Paulo,SP,-23.5273913,-46.7130594
9,2727819446,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-penha-zona-leste-sao-paulo-com-garagem-45m2-aluguel-RS2200-id-2727819446/,"Apartamento com 2 Quartos para Aluguel, 45m²",renting,"Penha, São Paulo - SP",45,2,1,1,2200,0,"Churrasqueira, Cozinha, Lavanderia, Piscina, Quadra poliesportiva",Apartamento,Penha,Penha,São Paulo,SP,-23.5334949,-46.5426688
10,2742937478,27-09-2024,https://www.vivareal.com.br/imovel/casa-2-quartos-saude-zona-sul-sao-paulo-com-garagem-75m2-aluguel-RS2500-id-2742937478/,"Casa com 2 Quartos para Aluguel, 75m²",renting,"Rua General Chagas Santos, 420 - Saúde, São Paulo - SP",75,2,2,1,2500,0,Garagem,Casa,Rua General Chagas Santos,Saúde,São Paulo,SP,-23.615178,-46.6433933
11,2741686264,27-09-2024,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-prudente-zona-leste-sao-paulo-com-garagem-52m2-aluguel-RS2400-id-2741686264/,"Apartamento com 2 Quartos para Aluguel, 52m²",renting,"Rua dos Ciclames, 235 - Vila Prudente, São Paulo - SP",52,2,1,1,2400,627,,Apartamento,Rua dos Ciclames,Vila Prudente,São Paulo,SP,-23.584427,-46.581938
