id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,features,type,street,neighborhood,city,state,latitude,longitude
2739848520,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-clementino-zona-sul-sao-paulo-com-garagem-70m2-aluguel-RS2200-id-2739848520/,"Apartamento com 2 Quartos para Aluguel, 70m²",renting,"Rua Borges Lagoa, 710 - Vila Clementino, São Paulo - SP",70,2,1,2,2200,1100,"Academia, Jardim, Elevador, Sauna, Portão eletrônico",Apartamento,Rua Borges Lagoa,Vila Clementino,São Paulo,SP,-23.5980058,-46.6434179
2739797750,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-sao-francisco-zona-oeste-sao-paulo-com-garagem-50m2-aluguel-RS1500-id-2739797750/,"Apartamento com 2 Quartos para Aluguel, 50m²",renting,"Rua Professor Celso Quirino dos Santos - Cidade São Francisco, São Paulo - SP",50,2,1,1,1500,552,"Cozinha, Elevador, Interfone, Área de serviço",Apartamento,Rua Professor Celso Quirino dos Santos,Cidade São Francisco,São Paulo,SP,-24.4976101,-47.844425
2739546787,https://www.vivareal.com.br/imovel/apartamento-1-quartos-bras-zona-leste-sao-paulo-com-garagem-45m2-aluguel-RS2000-id-2739546787/,"Apartamento com Quarto para Aluguel, 45m²",renting,"Brás, São Paulo - SP",45,1,1,1,2000,580,,Apartamento,Brás,Brás,São Paulo,SP,-23.5453263,-46.6164435
2737803820,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ipojuca-zona-oeste-sao-paulo-com-garagem-69m2-aluguel-RS3500-id-2737803820/,"Apartamento com 2 Quartos para Aluguel, 69m²",renting,"Rua Croata, 820 - Vila Ipojuca, São Paulo - SP",69,2,2,2,3500,950,,Apartamento,Rua Croata,Vila Ipojuca,São Paulo,SP,-23.5335192,-46.7084654
2737337044,https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-vila-prudente-zona-leste-sao-paulo-com-garagem-105m2-venda-RS740000-id-2737337044/,Casa de condomínio com 3 Quartos para Venda/Aluguel 105m²,renting,"Rua Torquato Tasso, 57 - Vila Prudente, São Paulo - SP",105,3,2,2,2900,0,"Interfone, Quintal",Casa,Rua Torquato Tasso,Vila Prudente,São Paulo,SP,-23.584427,-46.581938
2736381103,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-olimpia-zona-sul-sao-paulo-com-garagem-70m2-aluguel-RS12998-id-2736381103/,"Apartamento com Quarto para Aluguel, 70m²",renting,"Avenida Doutor Cardoso de Melo, 844 - Vila Olímpia, São Paulo - SP",70,1,2,1,12998,1150,"Mobiliado, Salão de festas, Área de serviço, Aceita animais",Apartamento,Avenida Doutor Cardoso de Melo,Vila Olímpia,São Paulo,SP,-23.5940278,-46.6842193
2738306031,https://www.vivareal.com.br/imovel/sobrado-2-quartos-vila-maria-zona-norte-sao-paulo-com-garagem-80m2-aluguel-RS2100-id-2738306031/,"Casa com 2 Quartos para Aluguel, 80m²",renting,"Vila Maria, São Paulo - SP",80,2,2,1,2100,0,"Cozinha, Varanda, Área de serviço, Quintal",Casa,Vila Maria,Vila Maria,São Paulo,SP,-23.5131836,-46.5891557
2740009248,https://www.vivareal.com.br/imovel/casa-de-condominio-1-quartos-indianopolis-zona-sul-sao-paulo-com-garagem-45m2-aluguel-RS3600-id-2740009248/,"Casa de condomínio com Quarto para Aluguel, 45m²",renting,"Avenida Ibijaú - Indianópolis, São Paulo - SP",45,1,1,1,3600,734,,Casa,Avenida Ibijaú,Indianópolis,São Paulo,SP,-23.6074637,-46.6689221
2739694127,https://www.vivareal.com.br/imovel/apartamento-2-quartos-moema-zona-sul-sao-paulo-com-garagem-85m2-aluguel-RS3000-id-2739694127/,"Apartamento com 2 Quartos para Aluguel, 85m²",renting,"Avenida Iraí, 619 - Moema, São Paulo - SP",85,2,2,1,3000,1400,"Área de serviço, Banheiro de serviço",Apartamento,Avenida Iraí,Moema,São Paulo,SP,-23.597085,-46.6628884
2730343758,https://www.vivareal.com.br/imovel/apartamento-1-quartos-chacara-santo-antonio-zona-sul-zona-sul-sao-paulo-com-garagem-38m2-aluguel-RS3600-id-2730343758/,"Apartamento com Quarto para Aluguel, 38m²",renting,"Rua Luís Correia de Melo, 86 - Chácara Santo Antônio Zona Sul, São Paulo - SP",38,1,1,1,3600,577,"Cozinha, Mobiliado",Apartamento,Rua Luís Correia de Melo,Chácara Santo Antônio Zona Sul,São Paulo,SP,-23.6277608,-46.7054657
2695822000,https://www.vivareal.com.br/imovel/sobrado-4-quartos-jardim-sao-bento-zona-norte-sao-paulo-com-garagem-644m2-venda-RS2700000-id-2695822000/,Casa com 4 Quartos para Venda/Aluguel 644m²,renting,"Rua Frei Mauro Teixeira - Jardim São Bento, São Paulo - SP",644,4,6,8,7000,0,,Casa,Rua Frei Mauro Teixeira,Jardim São Bento,São Paulo,SP,-23.5050514,-46.6487467
