id,link,operation,address,size,dorms,toilets,garage,price,additional_costs
2784016918.0,https://www.vivareal.com.br/imovel/sala-comercial-bela-vista-centro-sao-paulo-com-garagem-665m2-aluguel-RS110000-id-2784016918/,renting,"Avenida Paulista - Bela Vista, São Paulo",665 m²,,8,19,R$ 110.000/mês,Cond. R$ 27.000 • IPTU R$ 18.000
2748549819.0,https://www.vivareal.com.br/imovel/apartamento-2-quartos-butanta-zona-oeste-sao-paulo-com-garagem-46m2-aluguel-RS1650-id-2748549819/,renting,"Rua Cândido Fontoura - Jardim Boa Vista (Zona Oeste), São Paulo",46 m²,2,1,1,R$ 1.650/mês,Cond. R$ 368
2790389521.0,https://www.vivareal.com.br/imovel/apartamento-3-quartos-moema-zona-sul-sao-paulo-com-garagem-127m2-venda-RS1600000-id-2790389521/,renting,"Avenida Jacutinga - Indianópolis, São Paulo",127 m²,3,3,1,R$ 6.500/mês,Cond. R$ 1.200 • IPTU R$ 423
2756091563.0,https://www.vivareal.com.br/imovel/sala-comercial-vila-da-saude-sao-paulo-com-garagem-36m2-venda-RS399000-id-2756091563/,renting,"Rua Pereira Estéfano - Vila da Saúde, São Paulo",36 m²,,1,1,R$ 1.900/mês,Cond. R$ 564 • IPTU R$ 325
2792352534.0,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cambuci-sao-paulo-41m2-aluguel-RS1900-id-2792352534/,renting,"Rua José Bento - Cambuci, São Paulo",41 m²,2,1,,R$ 1.900/mês,Cond. R$ 389
2453788882.0,https://www.vivareal.com.br/imovel/flat-1-quartos-vila-nova-conceicao-sao-paulo-com-garagem-52m2-aluguel-RS5000-id-2453788882/,renting,"Rua Diogo Jácome - Vila Nova Conceição, São Paulo",52 m²,1,2,1,R$ 5.000/mês,Cond. R$ 1.043 • IPTU R$ 231
,,renting,"Rua Funchal - Vila Olímpia, São Paulo",106 m²,,2-4,4,R$ 8.000/mês,Cond. R$ 3.800 • IPTU R$ 1.200
2792128339.0,https://www.vivareal.com.br/imovel/apartamento-1-quartos-itaim-bibi-sao-paulo-com-garagem-30m2-aluguel-RS4055-id-2792128339/,renting,"Rua Pedroso Alvarenga - Itaim Bibi, São Paulo",30 m²,1,1,1,R$ 4.055/mês,Cond. R$ 1.205 • IPTU R$ 175
2778219412.0,https://www.vivareal.com.br/imovel/flat-1-quartos-jardim-paulista-sao-paulo-com-garagem-44m2-aluguel-RS3200-id-2778219412/,renting,"Alameda Lorena - Jardim Paulista, São Paulo",44 m²,1,1,1,R$ 3.200/mês,Cond. R$ 900 • IPTU R$ 400
,,renting,"Rua Batataes - Jardim Paulista, São Paulo",55 m²,2,2,2,R$ 4.600/mês,Cond. R$ 2.000 • IPTU R$ 400
