id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs
2785602317,https://www.vivareal.com.br/imovel/imovel-comercial-5-quartos-tatuape-zona-leste-sao-paulo-com-garagem-264m2-aluguel-RS8500-id-2785602317/,Imóvel comercial para alugar ,renting,"Rua Coronel Mendonça - Chácara Santo Antônio (Zona Leste), São Paulo",264 m²,5,3,2,R$ 8.500/mês,IPTU R$ 883
2775134312,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-84m2-venda-RS1780000-id-2775134312/,Apartamento para alugar ,renting,"Rua Nova York - Brooklin Paulista, São Paulo",84 m²,2,3,2,R$ 15.500/mês,Cond. R$ 1.377 • IPTU R$ 440
2781904908,https://www.vivareal.com.br/imovel/sala-comercial-vila-olimpia-zona-sul-sao-paulo-com-garagem-474m2-venda-RS9000000-id-2781904908/,Sala/Conjunto para alugar ,renting,"Avenida Doutor Cardoso de Melo - Vila Olímpia, São Paulo",474 m²,,8,13,R$ 45.000/mês,Cond. R$ 10.428 • IPTU R$ 6.162
2791759827,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-carrao-sao-paulo-com-garagem-62m2-aluguel-RS2000-id-2791759827/,Apartamento para alugar ,renting,"Rua Renato Rinaldi - Vila Carrão, São Paulo",62 m²,2,2,2,R$ 2.000/mês,Cond. R$ 903 • IPTU R$ 80
2791738846,https://www.vivareal.com.br/imovel/ponto-comercial-campos-eliseos-sao-paulo-42m2-aluguel-RS1200-id-2791738846/,Ponto comercial/Loja/Box para alugar ,renting,"Rua Conselheiro Nébias - Campos Elíseos, São Paulo",42 m²,,1,,R$ 1.200/mês,Cond. R$ 1 • IPTU R$ 32
2792019455,https://www.vivareal.com.br/imovel/casa-2-quartos-jardim-japao-sao-paulo-40m2-aluguel-RS1400-id-2792019455/,Casa para alugar ,renting,"Avenida Conceição - Jardim Japão, São Paulo",40 m²,2,1,,R$ 1.400/mês,IPTU R$ 67
2792488144,https://www.vivareal.com.br/imovel/apartamento-2-quartos-moema-sao-paulo-77m2-aluguel-RS3800-id-2792488144/,Apartamento para alugar ,renting,"Rua Gaivota - Moema, São Paulo",77 m²,2,1,,R$ 3.800/mês,Cond. R$ 857 • IPTU R$ 115
2791794417,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pinheiros-sao-paulo-com-garagem-60m2-aluguel-RS4300-id-2791794417/,Apartamento para alugar ,renting," - Pinheiros, São Paulo",60 m²,2,2,1,R$ 4.300/mês,Cond. R$ 945 • IPTU R$ 179
2791810226,https://www.vivareal.com.br/imovel/apartamento-1-quartos-tatuape-sao-paulo-com-garagem-39m2-aluguel-RS1800-id-2791810226/,Apartamento para alugar ,renting,"Rua Filipe Camarão - Tatuapé, São Paulo",39 m²,1,1,1,R$ 1.800/mês,Cond. R$ 603 • IPTU R$ 55
2791766072,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lauzane-paulista-sao-paulo-com-garagem-77m2-aluguel-RS2300-id-2791766072/,Apartamento para alugar ,renting,"Rua Filipe da Silva - Lauzane Paulista, São Paulo",77 m²,2,2,1,R$ 2.300/mês,Cond. R$ 760 • IPTU R$ 160
