id,link,title,operation,address,size,dorms,toilets,garage,price,additional_costs,scraping_date
2790786382,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cerqueira-cesar-centro-sao-paulo-com-garagem-130m2-aluguel-RS11996-id-2790786382/,Apartamento para alugar ,renting,"Rua da Consolação - Cerqueira César, São Paulo",130 m²,2,3,1,R$ 11.996/mês,Cond. R$ 1.787 • IPTU R$ 640,2025-04-01
2792669542,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-72m2-venda-RS1500100-id-2792669542/,Apartamento para alugar ,renting,"Rua Pássaros e Flores - Jardim das Acácias, São Paulo",72 m²,1,2,1,R$ 7.350/mês,Cond. R$ 1.150 • IPTU R$ 600,2025-04-01
2732587814,https://www.vivareal.com.br/imovel/sala-comercial-brooklin-zona-sul-sao-paulo-com-garagem-406m2-venda-RS8200000-id-2732587814/,Sala/Conjunto para alugar ,renting,"Rua Castilho - Brooklin Paulista, São Paulo",406 m²,,8,12,R$ 48.671/mês,Cond. R$ 10.367 • IPTU R$ 64.442,2025-04-01
2792088931,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-51m2-aluguel-RS3200-id-2792088931/,Apartamento para alugar ,renting,"Rua Doutor Jesuíno Maciel - Campo Belo, São Paulo",51 m²,1,1,1,R$ 3.200/mês,Cond. R$ 650 • IPTU R$ 250,2025-04-01
2792188813,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-guarani-z-sul-sao-paulo-com-garagem-55m2-aluguel-RS1800-id-2792188813/,Casa para alugar ,renting,"Rua Edgard Pereira - Vila Guarani (Z Sul), São Paulo",55 m²,2,1,1,R$ 1.800/mês,IPTU R$ 55,2025-04-01
2792162060,https://www.vivareal.com.br/imovel/sala-comercial-bela-vista-sao-paulo-30m2-venda-RS450000-id-2792162060/,Sala/Conjunto para alugar ,renting," - Bela Vista, São Paulo",30 m²,,2,,R$ 2.200/mês,Cond. R$ 780 • IPTU R$ 250,2025-04-01
2792302038,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-pereira-cerca-sao-paulo-com-garagem-48m2-aluguel-RS1500-id-2792302038/,Apartamento para alugar ,renting," - Vila Pereira Cerca, São Paulo",48 m²,2,1,1,R$ 1.500/mês,Cond. R$ 488,2025-04-01
2791973167,https://www.vivareal.com.br/imovel/casa-2-quartos-cupece-sao-paulo-90m2-aluguel-RS2200-id-2791973167/,Casa para alugar ,renting,"Rua João Protezek - Cupecê, São Paulo",90 m²,2,2,,R$ 2.200/mês,IPTU R$ 135,2025-04-01
2792072676,https://www.vivareal.com.br/imovel/sobrado-3-quartos-instituto-de-previdencia-sao-paulo-com-garagem-190m2-aluguel-RS3400-id-2792072676/,Casa para alugar ,renting,"Rua Engenheiro Artur de Miranda - Instituto de Previdência, São Paulo",190 m²,3,3,2,R$ 3.400/mês,IPTU R$ 219,2025-04-01
2792083577,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cambuci-sao-paulo-com-garagem-130m2-aluguel-RS4500-id-2792083577/,Casa para alugar ,renting," - Cambuci, São Paulo",130 m²,3,4,2,R$ 4.500/mês,IPTU R$ 1.000,2025-04-01
,,Prédio/Edificio inteiro para alugar ,renting,"Rua Doutor Virgílio do Nascimento - Brás, São Paulo",8730 m²,,10,72,R$ 218.350/mês,IPTU R$ 22.224,2025-04-01
2792335630,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parque-cruzeiro-do-sul-sao-paulo-com-garagem-47m2-aluguel-RS1800-id-2792335630/,Apartamento para alugar ,renting,"Rua Líbero Ancona Lopez - Parque Cruzeiro do Sul, São Paulo",47 m²,2,1,1,R$ 1.800/mês,IPTU R$ 30,2025-04-01
2792187247,https://www.vivareal.com.br/imovel/apartamento-1-quartos-sumarezinho-sao-paulo-44m2-aluguel-RS3400-id-2792187247/,Apartamento para alugar ,renting,"Rua Paulistânia - Sumarezinho, São Paulo",44 m²,1,1,,R$ 3.400/mês,Cond. R$ 523 • IPTU R$ 101,2025-04-01
,,Prédio/Edificio inteiro para alugar ,renting,"Rua Bela Cintra - Consolação, São Paulo",5493 m²,,,83,R$ 300.100/mês,IPTU R$ 14.735,2025-04-01
2792287834,https://www.vivareal.com.br/imovel/apartamento-1-quartos-consolacao-sao-paulo-50m2-aluguel-RS2480-id-2792287834/,Apartamento para alugar ,renting,"Rua Frei Caneca - Consolação, São Paulo",50 m²,1,1,,R$ 2.480/mês,Cond. R$ 750 • IPTU R$ 15,2025-04-01
2792322116,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-gustavo-sao-paulo-com-garagem-82m2-aluguel-RS2200-id-2792322116/,Casa para alugar ,renting,"Rua Elvira - Vila Gustavo, São Paulo",82 m²,2,1,2,R$ 2.200/mês,IPTU R$ 700,2025-04-01
2792182023,https://www.vivareal.com.br/imovel/apartamento-2-quartos-quarta-parada-sao-paulo-85m2-aluguel-RS2150-id-2792182023/,Apartamento para alugar ,renting,"Avenida Álvaro Ramos - Quarta Parada, São Paulo",85 m²,2,1,,R$ 2.150/mês,Cond. R$ 150 • IPTU R$ 144,2025-04-01
2792178616,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-vargas-sao-paulo-com-garagem-61m2-aluguel-RS2300-id-2792178616/,Apartamento para alugar ,renting,"Rua Francisco Duarte Graça - Cidade Vargas, São Paulo",61 m²,3,2,1,R$ 2.300/mês,Cond. R$ 748 • IPTU R$ 52,2025-04-01
,,Prédio/Edificio inteiro para alugar ,renting,"Rua Joaquim de Almeida - Mirandópolis, São Paulo",620 m²,,8,6,R$ 75.100/mês,IPTU R$ 4.719,2025-04-01
,,Prédio/Edificio inteiro para alugar ,renting,"Rua Vergueiro - Vila Mariana, São Paulo",2360 m²,,,51,R$ 150.100/mês,IPTU R$ 23.438,2025-04-01
,,Prédio/Edificio inteiro para alugar ,renting,"Rua Doutora Neyde Apparecida Sollitto - Vila Clementino, São Paulo",2703 m²,,,60,R$ 216.100/mês,IPTU R$ 1.219,2025-04-01
2792109127,https://www.vivareal.com.br/imovel/sala-comercial-vila-leopoldina-sao-paulo-com-garagem-50m2-aluguel-RS2000-id-2792109127/,Sala/Conjunto para alugar ,renting,"Rua Mergenthaler - Vila Leopoldina, São Paulo",50 m²,,1,1,R$ 2.000/mês,Cond. R$ 750 • IPTU R$ 330,2025-04-01
2792123454,https://www.vivareal.com.br/imovel/apartamento-1-quartos-agua-branca-sao-paulo-36m2-aluguel-RS2150-id-2792123454/,Apartamento para alugar ,renting,"Rua Guaicurus - Água Branca, São Paulo",36 m²,1,1,,R$ 2.150/mês,Cond. R$ 450,2025-04-01
2792575821,https://www.vivareal.com.br/imovel/sala-comercial-vila-marieta-sao-paulo-32m2-aluguel-RS1150-id-2792575821/,Sala/Conjunto para alugar ,renting,"Avenida São Miguel - Vila Marieta, São Paulo",32 m²,,1,,R$ 1.150/mês,Cond. R$ 210 • IPTU R$ 110,2025-04-01
,,Prédio/Edificio inteiro para alugar ,renting,"Rua Correia de Lemos - Chácara Inglesa, São Paulo",1083 m²,,10,19,R$ 25.100/mês,IPTU R$ 4.896,2025-04-01
2792071445,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-rio-pequeno-sao-paulo-260m2-aluguel-RS7000-id-2792071445/,Galpão/Depósito/Armazém para alugar ,renting,"Rua Luca Carlevaris - Rio Pequeno, São Paulo",260 m²,,2,,R$ 7.000/mês,,2025-04-01
2792264945,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jaguare-sao-paulo-com-garagem-95m2-aluguel-RS2700-id-2792264945/,Apartamento para alugar ,renting,"Rua Caetanópolis - Jaguaré, São Paulo",95 m²,3,3,2,R$ 2.700/mês,Cond. R$ 770 • IPTU R$ 430,2025-04-01
2792253841,https://www.vivareal.com.br/imovel/apartamento-2-quartos-liberdade-sao-paulo-80m2-aluguel-RS3400-id-2792253841/,Apartamento para alugar ,renting,"Rua Maestro Cardim - Liberdade, São Paulo",80 m²,2,1,,R$ 3.400/mês,Cond. R$ 800 • IPTU R$ 93,2025-04-01
2791759827,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-carrao-sao-paulo-com-garagem-62m2-aluguel-RS2000-id-2791759827/,Apartamento para alugar ,renting,"Rua Renato Rinaldi - Vila Carrão, São Paulo",62 m²,2,2,2,R$ 2.000/mês,Cond. R$ 903 • IPTU R$ 80,2025-04-01
2792247838,https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-dom-pedro-i-sao-paulo-com-garagem-40m2-aluguel-RS1600-id-2792247838/,Apartamento para alugar ,renting,"Rua Gama Lobo - Vila Dom Pedro I, São Paulo",40 m²,1,1,1,R$ 1.600/mês,Cond. R$ 300,2025-04-01
,,Apartamento para alugar ,renting,"Avenida Engenheiro Luiz Carlos Berrini - Cidade Monções, São Paulo",90 m²,1,2,2,R$ 7.200/mês,Cond. R$ 1.434 • IPTU R$ 8.181,2025-04-01
2792105939,https://www.vivareal.com.br/imovel/apartamento-1-quartos-mirandopolis-sao-paulo-45m2-aluguel-RS1700-id-2792105939/,Apartamento para alugar ,renting,"Rua das Camélias - Mirandópolis, São Paulo",45 m²,1,1,,R$ 1.700/mês,Cond. R$ 800,2025-04-01
2792317839,https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-vila-mazzei-sao-paulo-com-garagem-165m2-aluguel-RS3750-id-2792317839/,Casa de condomínio para alugar ,renting,"Rua Comprida - Vila Mazzei, São Paulo",165 m²,3,4,2,R$ 3.750/mês,Cond. R$ 200 • IPTU R$ 233,2025-04-01
,,Prédio/Edificio inteiro para alugar ,renting,"Rua Senador César Lacerda Vergueiro - Sumarezinho, São Paulo",528 m²,,8,3,R$ 29.000/mês,IPTU R$ 407,2025-04-01
,,Prédio/Edificio inteiro para alugar ,renting,"Avenida Guapira - Tucuruvi, São Paulo",8813 m²,,,25,R$ 220.425/mês,IPTU R$ 17.273,2025-04-01
2791995219,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-sao-joao-jaragua-sao-paulo-com-garagem-50m2-aluguel-RS1450-id-2791995219/,Apartamento para alugar ,renting,"Rua Friedrich Von Voith - Jardim São João (Jaraguá), São Paulo",50 m²,2,1,1,R$ 1.450/mês,Cond. R$ 316 • IPTU R$ 85,2025-04-01
2792126614,https://www.vivareal.com.br/imovel/apartamento-1-quartos-chacara-seis-de-outubro-sao-paulo-34m2-aluguel-RS1400-id-2792126614/,Apartamento para alugar ,renting,"Avenida Marcondes de Brito - Chácara Seis de Outubro, São Paulo",34 m²,1,1,,R$ 1.400/mês,Cond. R$ 75 • IPTU R$ 80,2025-04-01
2792319229,https://www.vivareal.com.br/imovel/casa-1-quartos-vila-gustavo-sao-paulo-com-garagem-50m2-aluguel-RS1600-id-2792319229/,Casa para alugar ,renting,"Rua Elvira - Vila Gustavo, São Paulo",50 m²,1,1,1,R$ 1.600/mês,IPTU R$ 50,2025-04-01
2792355016,https://www.vivareal.com.br/imovel/apartamento-1-quartos-pinheiros-sao-paulo-30m2-aluguel-RS1690-id-2792355016/,Apartamento para alugar ,renting,"Rua Deputado Lacerda Franco - Pinheiros, São Paulo",30 m²,1,1,,R$ 1.690/mês,Cond. R$ 450 • IPTU R$ 64,2025-04-01
2791870116,https://www.vivareal.com.br/imovel/sala-comercial-planalto-paulista-sao-paulo-com-garagem-36m2-aluguel-RS1450-id-2791870116/,Sala/Conjunto para alugar ,renting,"Avenida Itacira - Planalto Paulista, São Paulo",36 m²,,2,1,R$ 1.450/mês,Cond. R$ 680,2025-04-01
2791802919,https://www.vivareal.com.br/imovel/sobrado-4-quartos-vila-constanca-sao-paulo-com-garagem-150m2-aluguel-RS3000-id-2791802919/,Casa para alugar ,renting," - Vila Constança, São Paulo",150 m²,4,2,3,R$ 3.000/mês,,2025-04-01
2792019455,https://www.vivareal.com.br/imovel/casa-2-quartos-jardim-japao-sao-paulo-40m2-aluguel-RS1400-id-2792019455/,Casa para alugar ,renting,"Avenida Conceição - Jardim Japão, São Paulo",40 m²,2,1,,R$ 1.400/mês,IPTU R$ 67,2025-04-01
2778673222,https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-gustavo-sao-paulo-com-garagem-68m2-venda-RS550000-id-2778673222/,Apartamento para alugar ,renting,"Rua Dragões da Independência - Vila Gustavo, São Paulo",68 m²,3,2,2,R$ 2.800/mês,Cond. R$ 875 • IPTU R$ 221,2025-04-01
2791913521,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-acacias-sao-paulo-com-garagem-92m2-aluguel-RS10000-id-2791913521/,Apartamento para alugar ,renting,"Rua Joaquim Guarani - Jardim das Acácias, São Paulo",92 m²,2,3,2,R$ 10.000/mês,Cond. R$ 840 • IPTU R$ 110,2025-04-01
,,Imóvel comercial para alugar ,renting,"Rua Artur de Azevedo - Cerqueira César, São Paulo",1240 m²,,8,8,R$ 90.100/mês,,2025-04-01
2791845820,https://www.vivareal.com.br/imovel/apartamento-3-quartos-belenzinho-sao-paulo-com-garagem-87m2-aluguel-RS4200-id-2791845820/,Apartamento para alugar ,renting,"Rua Júlio de Castilhos - Belenzinho, São Paulo",87 m²,3,3,2,R$ 4.200/mês,Cond. R$ 805 • IPTU R$ 405,2025-04-01
2785793651,https://www.vivareal.com.br/imovel/sala-comercial-brooklin-paulista-sao-paulo-com-garagem-65m2-venda-RS950000-id-2785793651/,Sala/Conjunto para alugar ,renting,"Rua Ribeiro do Vale - Brooklin Paulista, São Paulo",65 m²,,2,2,R$ 5.000/mês,Cond. R$ 1.200 • IPTU R$ 702,2025-04-01
,,Apartamento para alugar ,renting,"Rua Américo Brasiliense - Alto da Boa Vista, São Paulo",77 m²,1,2,2,R$ 6.600/mês,Cond. R$ 743 • IPTU R$ 338,2025-04-01
,,Imóvel comercial para alugar ,renting,"Rua Bela Cintra - Consolação, São Paulo",2290 m²,1,6,30,R$ 200.100/mês,IPTU R$ 28.014,2025-04-01
,,Apartamento para alugar ,renting,"Praça Barão de Itaqui - Vila Gomes Cardim, São Paulo",45 m²,1,1,1,R$ 3.100/mês,Cond. R$ 500 • IPTU R$ 215,2025-04-01
2791754713,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-das-merces-sao-paulo-com-garagem-57m2-venda-RS395000-id-2791754713/,Apartamento para alugar ,renting,"Rua Dom Vilares - Vila das Mercês, São Paulo",57 m²,2,2,1,R$ 2.650/mês,Cond. R$ 465 • IPTU R$ 125,2025-04-01
2791763732,https://www.vivareal.com.br/imovel/casa-1-quartos-saude-sao-paulo-60m2-aluguel-RS1500-id-2791763732/,Casa para alugar ,renting,"Rua Doutor Samuel Porto - Saúde, São Paulo",60 m²,1,1,,R$ 1.500/mês,IPTU R$ 510,2025-04-01
2792101719,https://www.vivareal.com.br/imovel/sala-comercial-bras-sao-paulo-35m2-aluguel-RS1500-id-2792101719/,Sala/Conjunto para alugar ,renting,"Rua Correia de Andrade - Brás, São Paulo",35 m²,,1,,R$ 1.500/mês,,2025-04-01
2792069066,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-das-vertentes-sao-paulo-75m2-aluguel-RS3000-id-2792069066/,Apartamento para alugar ,renting,"Avenida Albert Bartholome - Jardim das Vertentes, São Paulo",75 m²,2,2,,R$ 3.000/mês,Cond. R$ 550 • IPTU R$ 210,2025-04-01
