id,link,operation,size,dorms,toilets,garage,price,additional_costs,type,street,neighborhood,city,latitude,longitude
2742886913,https://www.vivareal.com.br/imovel/sala-comercial-brooklin-zona-sul-sao-paulo-com-garagem-110m2-aluguel-RS11000-id-2742886913/,renting,110,0,2,3,11000,4638,Sala/Conjunto,Rua Samuel Morse,Cidade Monções,São Paulo,0.0,0.0
2790784572,https://www.vivareal.com.br/imovel/cobertura-3-quartos-moema-zona-sul-sao-paulo-com-garagem-482m2-aluguel-RS26999-id-2790784572/,renting,482,3,4,4,26999,13357,Cobertura,Alameda dos Arapanés,Moema,São Paulo,0.0,0.0
2743154155,https://www.vivareal.com.br/imovel/predio-comercial-vila-olimpia-zona-sul-sao-paulo-com-garagem-2500m2-venda-RS85000000-id-2743154155/,renting,2500,0,15,50,425001,300000,Prédio/Edifício inteiro,Rua Chilon,Vila Olímpia,São Paulo,0.0,0.0
2792088931,https://www.vivareal.com.br/imovel/apartamento-1-quartos-campo-belo-sao-paulo-com-garagem-51m2-aluguel-RS3200-id-2792088931/,renting,51,1,1,1,3200,900,Apartamento,Rua Doutor Jesuíno Maciel,Campo Belo,São Paulo,0.0,0.0
2792188813,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-guarani-z-sul-sao-paulo-com-garagem-55m2-aluguel-RS1800-id-2792188813/,renting,55,2,1,1,1800,55,Casa,Rua Edgard Pereira,Vila Guarani (Z Sul),São Paulo,0.0,0.0
2792162060,https://www.vivareal.com.br/imovel/sala-comercial-bela-vista-sao-paulo-30m2-venda-RS450000-id-2792162060/,renting,30,0,2,0,2200,1030,Sala/Conjunto,0,Bela Vista,São Paulo,0.0,0.0
2792302038,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-pereira-cerca-sao-paulo-com-garagem-48m2-aluguel-RS1500-id-2792302038/,renting,48,2,1,1,1500,488,Apartamento,0,Vila Pereira Cerca,São Paulo,0.0,0.0
2792072676,https://www.vivareal.com.br/imovel/sobrado-3-quartos-instituto-de-previdencia-sao-paulo-com-garagem-190m2-aluguel-RS3400-id-2792072676/,renting,190,3,3,2,3400,219,Casa,Rua Engenheiro Artur de Miranda,Instituto de Previdência,São Paulo,0.0,0.0
2792264945,https://www.vivareal.com.br/imovel/apartamento-3-quartos-jaguare-sao-paulo-com-garagem-95m2-aluguel-RS2700-id-2792264945/,renting,95,3,3,2,2700,1200,Apartamento,Rua Caetanópolis,Jaguaré,São Paulo,0.0,0.0
2791436341,https://www.vivareal.com.br/imovel/apartamento-1-quartos-indianopolis-sao-paulo-com-garagem-41m2-aluguel-RS4000-id-2791436341/,renting,41,1,1,1,4000,1310,Apartamento,Avenida Jandira,Indianópolis,São Paulo,0.0,0.0
0,0,renting,60,2,2,1,3000,1215,Apartamento,Rua Dias de Toledo,Saúde,São Paulo,0.0,0.0
2792287834,https://www.vivareal.com.br/imovel/apartamento-1-quartos-consolacao-sao-paulo-50m2-aluguel-RS2480-id-2792287834/,renting,50,1,1,0,2480,765,Apartamento,Rua Frei Caneca,Consolação,São Paulo,0.0,0.0
0,0,renting,5493,0,0,83,300100,14735,Prédio/Edificio inteiro,Rua Bela Cintra,Consolação,São Paulo,0.0,0.0
2792069872,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-esmeralda-sao-paulo-com-garagem-60m2-aluguel-RS3300-id-2792069872/,renting,60,2,1,1,3300,820,Apartamento,Avenida Engenheiro Heitor Antônio Eiras Garcia,Jardim Esmeralda,São Paulo,0.0,0.0
2792184832,https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ema-sao-paulo-40m2-aluguel-RS2200-id-2792184832/,renting,40,2,1,0,2200,289,Apartamento,Avenida Vila Ema,Vila Ema,São Paulo,0.0,0.0
2792322116,https://www.vivareal.com.br/imovel/casa-2-quartos-vila-gustavo-sao-paulo-com-garagem-82m2-aluguel-RS2200-id-2792322116/,renting,82,2,1,2,2200,700,Casa,Rua Elvira,Vila Gustavo,São Paulo,0.0,0.0
